,,,release_date,year,month,source_orig,source,bundle,starter_bundle,faction,origin,family,mastery_package,ship_type,ship_type_detailed,max_t,max_e,max_s,max_u,max_int,max_cmd,max_pil,max_tmp,max_mw,full,total_tac,total_eng,total_sci,total_int,total_cmd,total_pil,total_tmp,total_mw,num_specs,num_spec_seats,num_spec_slots,h_mod,hull,s_mod,turn,imp,inrt,power_w,power_s,power_e,power_a,b1r,b1c,b1s,b2r,b2c,b2s,b3r,b3c,b3s,b4r,b4c,b4s,b5r,b5c,b5s,b6r,b6c,b6s,weapon_total,fore,aft,dhc,exp,hangars,,fleet,console_t,console_e,console_s,,cc_w,cc_s,cc_e,cc_t,secdef,sub_targeting,sensor_analysis,tac_mode,singularity,cloak,flank,wingmen,,trait_summary,,adm_rarity,adm_role,adm_e,adm_t,adm_s,adm_bonus,released,,,console_u,devices,,console_t,console_e,console_s,,,,career,cloak_rank,name,wiki_url,trait_name,trait_url,console_name,console_url
,,,6,80,81,7,8,9,10,11,12,13,17,15,16,85,86,87,88,89,90,91,92,93,94,96,97,98,99,100,101,102,103,104,105,106,19,95,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,83,46,47,48,49,50,,84,52,53,54,,56,57,58,59,60,61,62,63,64,65,67,68,,71,,74,75,76,77,78,79,2,,,55,51,,52,53,54,,,,14,66,3,5,69,70,72,73
,,Current filter: 489 of 496 results,Acquisition,,,,,,,,,,Ship Role,,,Highest Seats,,,,,,,,,,Max Ability Counts,,,,,,,,Spec Details,,,Defense,,,Mobility,,,Power Bonus,,,,Boff 1,,,Boff 2,,,Boff 3,,,Boff 4,,,Boff 5,,,Boff 6,,,Weapons,,,,,Misc Equips,,,Consoles,,,,Cruiser Commands,,,,Science Features,,,,Misc Featrues,,,,,,,Admiralty Card,,,,,,,,,,,,,,,,,,,,,,,,,
x,ID,Name,Release (PC),Year,Month,Orig Source,Source,Bundle(s),Starter Bundle,Faction,Origin,Family,Mastery Package,Ship Type (Simplified),Ship Type (Detailed),Tac,Eng,Sci,Uni,Int,Cmd,Pil,Tmp,MW,Full,Tac,Eng,Sci,Int,Cmd,Pil,Tmp,MW,Specs,Spec Seats,Spec Slots,Hull Mod,Hull,Shield Mod,Turn,Imp,Inrt,W,S,E,A,,,,,,,,,,,,,,,,,,,F + A,Fore,Aft,DHC,Exp,Hangars,Dev,Fleet,T,E,S,U,Weapon,Shield,Engine,Threat,Sec Def,Sub Targeting,Sensor Analysis,Tac Mode,Singularity,Cloak,Flanking,Wingmen,Trait Name,Trait Summary,Universal Console,Rarity,Role,Eng,Tac,Sci,Bonus,RELEASED,SD_SHOW,Highlight,U,Dev,X-Upgrades,T,E,S,T_PLUS,E_PLUS,S_PLUS,Career,Cloak Rank,Name,Wiki URL,Trait,Trait URL,Console Name,Console URL
,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,FALSE,,,,,,,,,,,,,,,,,
,999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,FALSE,,,,,,,,,,,,,,,,,
,998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,FALSE,,,,,,,,,,,,,,,,,
,997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,FALSE,,,,,,,,,,,,,,,,,
,996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,FALSE,,,,,,,,,,,,,,,,,
,995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,FALSE,,,,,,,,,,,,,,,,,
,994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,FALSE,,,,,,,,,,,,,,,,,
